temperatura,densidad
100,21.79065510317764
100,21.725899752605898
100,21.80605152989012
100,21.895319179152178
100,21.716120947462244
100,21.71612262175326
100,21.90104873924776
100,21.81826329318719
100,21.692122818899715
100,21.795330484990814
100,21.692740482828103
100,21.692504697969692
100,21.76467540688537
100,21.54488293395037
100,21.56409220625344
100,21.68265769832301
100,21.636711087068818
100,21.772047065619958
100,21.647399350402107
100,21.595972717355444
100,21.889467433456087
100,21.71697524476225
100,21.746886552668435
100,21.594703623930837
100,21.684483637295667
100,21.751311928988578
100,21.622621225774076
100,21.778313830535257
100,21.678746631989707
100,21.71025295755622
100,21.678637724855694
100,21.928896052148268
100,21.73862354775364
100,21.632134226670274
100,21.823883451152415
100,21.61549788811504
100,21.76129999093217
100,21.54015207596265
100,21.604551068379706
100,21.760075985663335
100,21.815309110030658
100,21.75747620419597
100,21.72820614302778
100,21.70929332761151
100,21.58921975039681
100,21.666590006692974
100,21.693023878363174
100,21.84780573719486
100,21.77504232727474
100,21.56020447689116
100,21.773050209679734
100,21.70072915875637
100,21.670967230225195
100,21.802378986656034
100,21.845141733674236
100,21.83497230999989
100,21.65441626945878
100,21.708466401233807
100,21.77378237401733
100,21.839486472791748
100,21.69113362421632
100,21.721066425102354
100,21.627175527579464
100,21.618010381630477
100,21.822861700473723
100,21.878309887415966
100,21.732656379697715
100,21.842340676577678
100,21.77687978297072
100,21.674210435653286
100,21.776855264892284
100,21.896849569300585
100,21.736346446549675
100,21.899562970656298
100,21.47283737187215
100,21.823817938161604
100,21.748877093990952
100,21.70950711370534
100,21.74935779980274
100,21.537306946396797
100,21.717597775146576
100,21.776418479413756
100,21.890716211463193
100,21.687146600874176
100,21.657549506844656
100,21.6888306208736
100,21.833353065218944
100,21.773526166465402
100,21.685974847669343
100,21.792343213142736
100,21.74990000636915
100,21.838782794169422
100,21.668404351494825
100,21.70658488641265
100,21.700012657514808
100,21.590750174420794
100,21.770198461422456
100,21.76662251853943
100,21.74052147230404
100,21.71607671258565
125,21.377559905817247
125,21.484695112231165
125,21.49308851693412
125,21.443592093684476
125,21.512628997232852
125,21.573517609088206
125,21.733148438698247
125,21.548802605875373
125,21.55773902600368
125,21.521981929487623
125,21.323342015568578
125,21.527144368220604
125,21.536486992138016
125,21.79529929471215
125,21.509282090043886
125,21.5624776427124
125,21.5262614279878
125,21.404129523218806
125,21.653085784030335
125,21.610985666098937
125,21.615196748050707
125,21.432055973647795
125,21.681085571098034
125,21.37901601983614
125,21.59320644336701
125,21.765919290954034
125,21.42331597283436
125,21.46900786792366
125,21.540732780485058
125,21.475774012524088
125,21.362988437266246
125,21.537384458379957
125,21.41558638852708
125,21.581007465807637
125,21.430974979419553
125,21.69693304422535
125,21.445641038700774
125,21.495312913143938
125,21.617618485779545
125,21.397431856015643
125,21.554498184697266
125,21.670783583165253
125,21.356868757143644
125,21.549885675143475
125,21.55799023355133
125,21.61420490029016
125,21.396776331272388
125,21.38778247035741
125,21.586214827010817
125,21.561986228211076
125,21.55697890564243
125,21.567313614105558
125,21.456759096027483
125,21.55501448872557
125,21.56156487138296
125,21.453061997674357
125,21.730950064709308
125,21.58103336740312
125,21.40169268664496
125,21.60071298774424
125,21.425023571426657
125,21.614771606166226
125,21.65478456275545
125,21.441609809227497
125,21.633758784544803
125,21.574457866415898
125,21.618538588858996
125,21.734290856332155
125,21.503570891072247
125,21.44882013067675
125,21.434196363962847
125,21.442134543282116
125,21.521695891757865
125,21.56674319217334
125,21.5598005111002
125,21.6190903624352
125,21.531400346611342
125,21.68655041116557
125,21.501495586713588
125,21.82297118530742
125,21.59738643564315
125,21.43768130586035
125,21.41466134814434
125,21.581963869419617
125,21.50593232145518
125,21.60690020666123
125,21.58096925202531
125,21.52215608605237
125,21.43879752541111
125,21.366845960748726
125,21.481908867885387
125,21.622236972961264
125,21.553058601926352
125,21.39582982739995
125,21.548652156543216
125,21.571499951857863
125,21.43480564080091
125,21.546556700610218
125,21.536269270840876
125,21.40689833153045
150,21.796487294642652
150,21.81718902485745
150,21.87044998846343
150,21.867467144535798
150,21.619504740190155
150,21.664360236422734
150,21.812523497553705
150,21.81239609179022
150,21.812524764058104
150,22.152903061029633
150,21.818219637082986
150,21.875805427164924
150,21.857289472161074
150,21.826429134027837
150,21.727848719390863
150,21.837399977310227
150,21.681186983009525
150,21.735849146061014
150,21.710502435968653
150,21.768349556687788
150,21.996049783975455
150,21.56957556691844
150,21.829985082042427
150,21.59553460605846
150,21.711872204145067
150,21.8710516068655
150,21.766555301434035
150,21.650091166933315
150,21.68705304856676
150,21.82930564366423
150,21.685516925855943
150,21.782074531443264
150,21.764647434018794
150,21.69354954224988
150,21.97864025495043
150,21.82464730929674
150,21.5534751686565
150,21.779014683788056
150,21.692510758046286
150,21.846931484163257
150,21.679178425796092
150,21.7482991329208
150,21.811498799792748
150,21.84829005258135
150,21.637593303966543
150,21.72588743342252
150,21.711564891810017
150,21.69337322988612
150,21.940041712430965
150,21.80130019293676
150,21.63141456224939
150,21.85360391957633
150,21.976418317189182
150,21.865291210213137
150,21.605054057904674
150,21.710617620266166
150,21.889200093433814
150,21.68783159171272
150,21.805260878492582
150,21.83899748308659
150,21.665471268753592
150,21.753929580957745
150,21.429454291684337
150,21.65553254854706
150,21.734243001350684
150,21.632750584128566
150,21.926473941859133
150,21.614153624131646
150,21.71512409150966
150,21.773332975096
150,21.906981612507362
150,21.613570217446135
150,21.878619893394838
150,21.761043571556453
150,21.659905364710927
150,21.80712549265135
150,21.780300185441977
150,21.69878964861959
150,21.76711844386907
150,21.720705569014985
150,21.771576543171346
150,21.827524344598622
150,21.921742613888227
150,21.633767092345085
150,21.977527576010335
150,21.560925324359765
150,21.74452089677082
150,21.81999681832094
150,21.788655660334832
150,21.696496859946595
150,21.738775611684307
150,21.709723572279103
150,21.69989635207435
150,21.84664275342999
150,21.79640857859181
150,21.689336809052204
150,21.851741546385192
150,21.79133852506935
150,21.8428959961164
150,21.824209795025784
175,21.78383683905708
175,21.81826182408329
175,21.98570027590887
175,21.968165532808108
175,21.887323289941744
175,21.90502523623558
175,22.0536209412308
175,21.81424189803947
175,21.960062650032118
175,21.864106706531395
175,21.862123204231644
175,22.03071209384979
175,21.99570486860357
175,21.99418006535322
175,22.0571828598309
175,21.89268980414876
175,21.977332591985764
175,21.850266468215736
175,21.93151354857158
175,21.873333557084894
175,21.902421544287563
175,21.966217287493073
175,21.785216626232376
175,22.157956313580755
175,21.76116691442481
175,21.73450798929288
175,22.03831055607486
175,21.99138229167171
175,21.96992633455258
175,21.970467487197045
175,21.888431647839074
175,21.77509537573593
175,21.899707720077565
175,21.803280988647106
175,22.014876255988927
175,21.871167466324206
175,21.7842847778257
175,21.84884253055488
175,21.942881028065415
175,21.8178080330541
175,21.78470441313274
175,21.921207189805127
175,21.92137102777654
175,21.8250795973356
175,21.82967766417072
175,21.91971689156379
175,21.70455472110223
175,21.709756691859614
175,21.7979942478731
175,21.862665427389256
175,21.929815595377637
175,22.07893778303194
175,21.999834022415847
175,21.869517874445837
175,21.887564737165484
175,21.76161359853099
175,21.887629161804327
175,21.853033657455722
175,21.931328140711408
175,21.784062749907715
175,21.95650880505928
175,22.08628635367007
175,21.876071905146983
175,21.941444201284654
175,21.978381554412884
175,21.838618709438272
175,21.918697840034135
175,21.891612614133066
175,21.90250864388072
175,21.791006446344447
175,21.893138833817222
175,21.95377489857748
175,22.075837056141363
175,22.01284660553537
175,22.16574189562615
175,21.79173156443073
175,22.00171154823598
175,21.913479232813657
175,22.170431604737754
175,21.78648731315934
175,21.78246313439261
175,21.81324028848437
175,21.618008636197835
175,21.822670505554477
175,21.79278358510757
175,21.909259801986902
175,21.933766119435724
175,22.13026709948296
175,22.011713638282462
175,21.81612028439529
175,21.77494678485248
175,21.952996391398624
175,21.72092765506125
175,22.12454116027002
175,22.041042032471825
175,21.8299162002079
175,21.6706117354959
175,22.063380260268186
175,21.875331742814225
175,22.04851783257374
